itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,105335,2,1060,1.02,105474.0,-23.3364,4090624,429629,245167
360750,4,TIGER 미국S&P500,25840,2,215,0.84,25805.0,-8.9736,5607156,144559,205170
133690,4,TIGER 미국나스닥100,175975,2,1045,0.6,175728.0,-13.4028,554685,97303,115017
379800,4,KODEX 미국S&P500,23490,2,195,0.84,23457.0,-8.995,5192721,121749,101817
102110,1,TIGER 200,105585,2,935,0.89,105712.0,-23.1147,2296215,241721,97508
396500,2,TIGER 반도체TOP10,34895,2,265,0.77,34920.0,-35.632,1653215,57513,92978
379810,4,KODEX 미국나스닥100,26305,2,155,0.59,26274.0,-13.3927,3096276,81227,91199
488770,7,KODEX 머니마켓액티브,105532,2,7,0.01,105535.0,0.8553,65382,6899,86333
278530,1,KODEX 200TR,38150,2,330,0.87,38213.0,-23.3948,151333,5769,73992
459580,6,KODEX CD금리액티브(합성),1074852,2,92,0.01,1075061.0,0.7294,256726,275942,68357
498400,2,KODEX 200타겟위클리커버드콜,19650,2,165,0.85,19674.0,-22.6821,1544297,30264,57496
381180,4,TIGER 미국필라델피아반도체나스닥,39910,2,440,1.11,39872.0,-28.1311,195307,7766,54178
091160,2,KODEX 반도체,123025,2,330,0.27,123095.0,-29.0986,620486,76299,53577
122630,3,KODEX 레버리지,101605,2,1915,1.92,101678.0,-50.8989,3371483,340445,53292
0167A0,2,SOL AI반도체TOP2플러스,16750,2,165,0.99,16755.0,-33.125,2478922,41363,52327
229200,1,KODEX 코스닥150,13440,5,-245,-1.79,13477.0,-25.1982,5526881,74625,45011
310970,1,TIGER MSCI Korea TR,47130,2,610,1.31,47104.0,-23.7378,502,23,43737
458730,4,TIGER 미국배당다우존스,14855,2,150,1.02,14857.0,-6.1207,854601,12669,43250
148020,1,RISE 200,106160,2,980,0.93,106260.0,-23.3397,383997,40588,42889
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13315,2,110,0.83,13326.0,-11.1599,1267919,16827,40291
411060,5,ACE KRX금현물,26415,2,160,0.61,26377.0,-9.5591,126517,3332,39490
360200,4,ACE 미국S&P500,26120,2,205,0.79,26088.0,-8.9466,551150,14359,39415
395160,2,KODEX AI반도체TOP2플러스,38090,2,385,1.02,38144.0,-28.7981,659887,25045,38052
381170,4,TIGER 미국테크TOP10 INDXX,30595,2,185,0.61,30566.0,-7.6947,157503,4807,37754
423160,6,KODEX KOFR금리액티브(합성),110800,2,5,0.0,110782.0,0.7021,25701,2847,36266
357870,6,TIGER CD금리투자KIS(합성),58060,2,10,0.02,58061.0,0.755,31823,1847,34727
273130,6,KODEX 종합채권(AA-이상)액티브,109150,2,45,0.04,109130.0,-1.4631,772,84,34686
367380,4,ACE 미국나스닥100,30240,2,175,0.58,30207.0,-13.4289,98601,2975,34322
395270,2,HANARO Fn K-반도체,54260,2,565,1.05,54308.0,-29.4416,161121,8692,33940
102780,2,KODEX 삼성그룹,25335,2,100,0.4,25354.0,-23.3911,88720,2236,32429
0043B0,6,TIGER 머니마켓액티브,103670,2,10,0.01,103669.0,0.92,16196,1678,31619
455890,6,RISE 머니마켓액티브,55545,2,10,0.02,55546.0,0.826,108378,6019,31277
233740,3,KODEX 코스닥150레버리지,6325,5,-230,-3.51,6334.0,-51.155,19147260,122405,30771
487240,2,KODEX AI전력핵심설비,34935,2,365,1.06,34932.0,-27.3605,950096,33382,30568
139260,2,TIGER 200 IT,131835,2,935,0.71,131953.0,-28.3445,33112,4335,25681
481050,6,KODEX CD1년금리플러스액티브(합성),1023030,2,90,0.01,1022996.0,0.7917,28266,28917,25133
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10250,2,65,0.64,10240.0,-13.5532,947301,9678,24426
426030,4,TIME 미국나스닥100액티브,44205,2,85,0.19,44154.0,-25.0489,91352,4023,24207
161510,2,PLUS 고배당주,25165,5,-125,-0.49,25170.0,-6.1519,70434,1775,24038
472150,2,TIGER 배당커버드콜액티브,19780,2,145,0.74,19802.0,-22.2911,785411,15482,23944
449170,6,TIGER KOFR금리액티브(합성),111885,2,10,0.01,111868.0,0.6839,15711,1757,23852
278540,1,KODEX MSCI Korea TR,37515,2,255,0.68,37498.0,-22.9848,3179,118,22959
385540,6,RISE 종합채권(A-이상)액티브,102195,3,0,0.0,102240.0,-1.5036,81,8,21918
0193T0,2,KODEX SK하이닉스단일종목레버리지,10215,2,375,3.81,10202.0,-63.2973,5301541,53654,20989
456600,4,TIME 글로벌AI인공지능액티브,55795,2,105,0.19,55741.0,-21.5524,26434,1468,20109
284430,6,KODEX 200미국채혼합50,20330,2,180,0.89,20360.0,-16.7295,161492,3271,19777
214980,6,KODEX 단기채권PLUS,114410,5,-10,-0.01,114432.0,0.7007,3707,424,18396
292150,2,TIGER 코리아TOP10,37170,2,170,0.46,37207.0,-21.4324,115745,4287,18009
